HBS	8.61	2.00	14.05
HDS	2.20	3.00	1.06
HE	2.27	1.00	1.92
HEB	6.77	2.00	8.81
HEC	1.00	1.00	0.00
HED	1.43	1.00	0.82
HER	1.40	1.00	0.65
HI	1.00	1.00	0.00
HIC	1.00	1.00	0.00
HIN	10.62	9.00	9.06
HIS	8.56	1.00	21.07
HMN	3.97	2.00	5.37
HON	13.19	13.00	15.12
HRP	2.00	2.00	1.25
HSC	3.00	3.00	1.63
HSE	1.40	1.00	0.75
HSI	45.58	48.00	38.96
HUM	2.77	1.00	5.13
HUN	1.35	1.00	0.73
HYG	2.11	1.00	1.45
IC	1.00	1.00	0.00
ICO	18.82	21.00	12.63
ICW	1.00	1.00	0.00
IDM	32.43	1.00	55.68
IE	6.38	1.00	12.38
IED	1.89	1.00	1.32
IMC	115.78	142.00	55.00
INC	1.42	1.00	0.81
IND	2.78	2.00	1.93
INF	5.95	2.00	7.95
INS	1.10	1.00	0.30
INT	1.00	1.00	0.00
IR	1.75	1.00	1.62
IRI	10.57	8.00	8.46
IS	1.47	1.00	1.16
ISM	1.00	1.00	0.00
ITA	9.27	5.00	9.72
ITL	1.00	1.00	0.00
JAP	3.26	1.00	4.49
JDS	7.12	3.00	9.64
JLS	25.21	27.00	16.19
JPN	9.23	5.00	9.29
JRN	1.00	1.00	0.00
KOR	8.51	6.00	8.16
L S	1.00	1.00	0.00
L&L	2.13	1.00	2.03
LAI	8.02	4.00	9.83
LAS	1.00	1.00	0.00
LAT	9.60	6.00	9.78
LAW	15.16	6.00	24.02
LI	1.41	1.00	0.68
LIN	5.80	1.00	16.58
LIS	7.59	2.00	11.11
LIT	4.00	3.00	2.45
LJ	1.00	1.00	0.00
LLS	9.61	9.00	7.34
LS	1.00	1.00	0.00
LSC	1.00	1.00	0.00
MAE	11.52	2.00	26.84
MAS	2.07	1.00	1.93
MAT	1.00	1.00	0.00
MCH	2.44	0.00	14.58
MD	54.16	23.00	64.07
ME	2.50	1.00	3.27
MEA	4.51	2.00	5.54
MED	1.09	0.00	5.54
MET	1.00	1.00	0.00
MFC	12.04	8.00	14.24
MFX	1.53	1.00	0.77
MG	0.49	0.00	1.13
MGA	28.54	23.00	45.73
MGB	17.76	3.00	22.63
MGE	24.53	4.00	49.78
MGF	22.36	8.00	42.33
MGG	33.84	20.00	67.50
MGH	4.44	1.00	7.30
MGI	16.62	3.00	22.09
MGM	21.52	12.00	34.73
MGO	27.44	12.00	53.85
MGQ	33.71	22.00	58.25
MGS	20.15	10.00	34.34
MGT	12.47	1.00	22.50
MHI	1.35	0.00	2.35
MIC	8.12	0.00	30.04
MIL	1.00	1.00	0.00
MIR	2.89	1.00	4.29
MKT	1.50	1.00	1.18
MLS	12.17	7.00	13.67
MSG	1.00	1.00	0.00
MST	7.01	1.00	11.33
MT	7.51	3.00	12.04
MTH	20.75	15.00	31.14
MTR	9.79	8.00	8.62
MUS	6.77	2.00	16.49
NAH	2.72	2.00	2.30
NAN	11.56	13.00	5.13
NBC	23.75	21.00	8.91
NBS	70.57	72.00	7.37
NC	2.62	2.00	1.64
NCS	0.36	0.00	0.72
NEU	2.25	0.00	4.67
NEX	0.21	0.00	0.68
NFN	6.35	4.00	6.33
NFS	2.00	2.00	0.00
NGC	11.89	1.00	17.02
NLH	1.67	1.00	0.75
NMD	4.75	2.00	5.29
NPM	2.27	0.00	3.96
NRS	7.18	6.00	6.79
NSG	33.06	13.00	41.73
NSM	1.00	1.00	0.00
NSR	0.14	0.00	0.41
NTR	22.87	3.00	49.82
NUE	1.00	1.00	0.00
NUR	11.47	3.00	22.02
NUS	1.48	1.00	2.55
NUT	1.00	1.00	0.00
OAP	8.93	6.00	11.04
OCC	1.00	1.00	0.00
OCN	5.04	4.00	4.45
ODE	1.89	1.00	0.99
ODS	12.03	0.00	29.35
OM	1.48	1.00	0.84
OPD	17.37	2.00	30.28
OPH	0.35	0.00	0.77
OPR	7.65	1.00	16.09
ORB	3.53	0.00	14.27
ORG	1.83	1.00	0.99
ORM	15.17	2.00	27.39
ORS	0.26	0.00	0.65
ORT	9.50	5.00	20.78
OS	11.04	11.00	9.08
OSH	1.00	1.00	0.00
OSU	21.58	1.00	36.55
OT	16.34	6.00	20.08
OTD	3.74	1.00	7.94
OTE	3.15	2.00	3.98
OTO	0.23	0.00	0.54
P E	1.00	1.00	0.00
P H	2.50	2.00	0.50
P&E	1.00	1.00	0.00
PCH	1.00	1.00	0.00
PD	9.29	2.00	19.12
PDO	16.23	0.00	33.04
PE	1.96	1.00	1.60
PED	1.02	0.00	3.72
PEG	1.00	1.00	0.00
PEH	2.13	2.00	1.17
PEM	2.11	1.00	2.40
PEN	1.61	1.00	1.00
PER	8.88	0.00	23.56
PES	1.13	1.00	0.60
PEW	1.50	1.00	0.50
PGR	2.16	1.00	2.34
PGY	28.98	1.00	78.56
PH	5.00	5.00	0.00
PHA	24.20	7.00	61.59
PHC	7.72	1.00	21.84
PHI	10.88	1.00	22.29
PHM	23.21	2.00	42.47
PHW	3.53	2.00	4.83
PHY	18.14	6.00	34.76
PLS	1.04	1.00	0.19
PLY	0.95	1.00	1.05
PMR	1.93	1.00	3.14
PMY	4.32	0.00	20.48
POL	5.97	4.00	6.41
POR	4.98	2.00	5.89
PRS	4.46	3.00	4.63
PS	2.73	3.00	2.10
PSC	10.92	1.00	27.49
PSY	20.05	1.00	57.57
PT	26.40	23.00	23.17
PTH	2.84	0.00	15.17
PTR	2.04	1.00	4.09
PTY	2.78	0.00	13.80
PUB	8.75	0.00	16.91
RAI	4.81	3.00	5.08
RAO	0.18	0.00	0.45
RCC	2.87	2.00	3.34
RDN	19.90	0.00	35.51
RE	1.38	1.00	0.62
REC	3.82	1.00	5.88
REM	0.24	0.00	0.57
RET	1.13	1.00	0.33
RGY	0.88	0.00	1.54
RLL	3.98	3.00	4.20
RPN	3.54	0.00	10.09
RPR	10.89	2.00	23.97
RPS	1.40	1.00	0.80
RSC	0.83	0.00	2.02
RSP	6.06	2.00	8.82
RSS	1.00	1.00	0.00
RUS	6.95	3.00	7.31
SCA	1.00	1.00	0.00
SCI	1.00	1.00	0.00
SEC	1.19	1.00	0.41
SER	1.00	1.00	0.00
SES	8.71	5.00	9.74
SIS	22.74	3.00	32.85
SLA	1.00	1.00	0.00
SOC	17.67	2.00	49.78
SOS	1.42	1.00	0.79
SP	2.51	1.00	3.57
SPA	9.93	5.00	10.33
SPC	1.00	1.00	0.00
SPF	1.91	1.00	1.45
SPM	3.07	0.00	11.30
SPR	1.00	1.00	0.00
SS	1.00	1.00	0.00
SSA	1.63	1.00	1.42
SSC	18.17	13.00	16.13
SSE	1.00	1.00	0.00
SSI	1.00	1.00	0.00
STA	11.28	0.00	34.45
STB	0.47	0.00	1.26
STS	1.00	1.00	0.00
SUR	1.80	0.00	4.29
SW	8.52	3.00	12.80
SWA	3.00	1.00	3.56
SWE	1.36	1.00	0.61
SWK	1.00	1.00	0.00
SYS	11.89	8.00	19.37
TAG	1.00	1.00	0.00
TE	1.00	1.00	0.00
TED	2.89	2.00	2.52
TH	7.11	1.00	19.61
THB	1.00	1.00	0.00
THD	6.22	1.00	11.79
THI	2.95	2.00	2.62
TNS	2.00	0.00	2.89
TRA	1.00	1.00	0.00
TRC	0.00	0.00	0.00
TUR	1.25	1.00	0.43
TUT	1.00	1.00	0.00
UBE	14.31	15.00	8.25
UC	2.00	2.00	1.07
UCB	1.64	1.00	0.77
UCE	2.74	2.00	2.39
UE	16.24	12.00	24.46
UEB	2.33	1.00	2.79
UGC	38.58	22.00	60.86
UKR	6.31	7.00	4.14
ULC	23.55	28.00	19.92
UP	2.19	2.00	1.15
URO	0.12	0.00	0.44
URP	2.92	0.00	6.97
URS	1.91	2.00	1.28
USB	1.79	1.00	1.54
VIC	1.00	1.00	0.00
VIE	4.62	4.00	3.20
VS	7.24	0.00	24.89
VSP	2.00	2.00	0.00
WLI	4.08	3.00	3.87
WLP	1.00	1.00	1.13
WS	5.05	1.00	7.82
WSC	1.66	1.00	1.02
XCB	1.00	1.00	0.00
XCC	1.00	1.00	0.00
XCE	1.00	1.00	0.00
XIC	1.00	1.00	0.00
XMC	1.50	1.00	0.50
XNC	3.00	3.00	0.00
XSS	1.00	1.00	0.00
YID	8.00	4.00	7.96
YOR	3.10	1.00	3.59
